player_name,country
Ludvig Åberg,Sweden
Byeong Hun An,Korea
Jose Luis Ballester,Spain
Evan Beck,United States
Daniel Berger,United States
Christiaan Bezuidenhout,South Africa
Akshay Bhatia,United States
Keegan Bradley,United States
Sam Burns,United States
Angel Cabrera,Argentina
Brian Campbell,United States
Rafael Campos,Puerto Rico
Laurie Canter,England
Patrick Cantlay,United States
Wyndham Clark,United States
Corey Conners,Canada
Fred Couples,United States
Cameron Davis,Australia
Jason Day,Australia
Bryson DeChambeau,United States
Thomas Detry,Belgium
Nick Dunlap,United States
Nicolas Echavarria,Colombia
Austin Eckroat,United States
Harris English,United States
Tony Finau,United States
Matt Fitzpatrick,England
Tommy Fleetwood,England
Sergio Garcia,Spain
Lucas Glover,United States
Max Greyserman,United States
Brian Harman,United States
Justin Hastings,Cayman Islands
Tyrrell Hatton,England
Russell Henley,United States
Joe Highsmith,United States
Tom Hoge,United States
Nicolai Højgaard,Denmark
Rasmus Højgaard,Denmark
Max Homa,United States
Billy Horschel,United States
Viktor Hovland,Norway
Sungjae Im,Korea
Stephan Jaeger,Germany
Dustin Johnson,United States
Zach Johnson,United States
Noah Kent,United States
Michael Kim,United States
Tom Kim,Korea
Chris Kirk,United States
Patton Kizzire,United States
Brooks Koepka,United States
Bernhard Langer,Germany
Thriston Lawrence,South Africa
Min Woo Lee,Australia
Shane Lowry,Ireland
Robert MacIntyre,Scotland
Hideki Matsuyama,Japan
Denny McCarthy,United States
Matt McCarty,United States
Rory McIlroy,Northern Ireland
Maverick McNealy,United States
Phil Mickelson,United States
Collin Morikawa,United States
Joaquin Niemann,Chile
Jose Maria Olazabal,Spain
Matthieu Pavon,France
Taylor Pendrith,Canada
J.T. Poston,United States
Jon Rahm,Spain
Aaron Rai,England
Patrick Reed,United States
Davis Riley,United States
Justin Rose,England
Xander Schauffele,United States
Scottie Scheffler,United States
Adam Schenk,United States
Charl Schwartzel,South Africa
Adam Scott,Australia
Vijay Singh,Fiji
Cameron Smith,Australia
J.J. Spaun,United States
Jordan Spieth,United States
Sepp Straka,Austria
Hiroshi Tai,Singapore
Nick Taylor,Canada
Sahith Theegala,United States
Justin Thomas,United States
Davis Thompson,United States
Jhonattan Vegas,Venezuela
Bubba Watson,United States
Mike Weir,Canada
Danny Willett,England
Cameron Young,United States
Kevin Yu,Chinese Taipei
Will Zalatoris,United States
